applicant_age,applicant_marital_status,employment_segment,applicant_income,spouse_income,program_type,product_name,house_ownership,down_payment,financing_tenure,interest_rate,installment_payment,credit_score
28,Single,BUMN,19836388,,FLPP,KPR,TRUE,19085076,17,10,Angsuran Variabel (Variable),Dipertimbangkan
40,Single,pekerjaan mandiri,14401657,,TAPERA,KPP,TRUE,13146585,15,3,Angsuran Tetap (Fixed),Dipertimbangkan
45,Widowed/Divorced,pekerjaan lain,17559643,,TAPERA,KRR,FALSE,4050413,4,2,Angsuran Tetap (Fixed),Dipertimbangkan
22,Single,ASN,6368105,,FLPP,KPR,FALSE,27577773,28,10,Angsuran Variabel (Variable),Layak
17,Married,POLRI,13910648,13805018,FLPP,KPP,TRUE,20994697,30,9,Angsuran Tetap (Fixed),Layak
29,Single,pekerjaan lain,19563180,,FLPP,KPP,FALSE,29882973,1,2,Angsuran Tetap (Fixed),Dipertimbangkan
56,Single,BUMD,19017734,,TAPERA,KRR,TRUE,26195278,18,6,Angsuran Tetap (Fixed),Layak
20,Widowed/Divorced,pekerjaan lain,10848230,,FLPP,KPR,FALSE,15588301,11,8,Angsuran Tetap (Fixed),Dipertimbangkan
13,Single,BUMD,9837869,,FLPP,KPR,TRUE,17796882,12,9,Angsuran Variabel (Variable),Dipertimbangkan
19,Widowed/Divorced,pekerjaan mandiri,11014145,,FLPP,KPP,FALSE,29241736,33,10,Angsuran Variabel (Variable),Dipertimbangkan
25,Widowed/Divorced,pekerjaan mandiri,6128434,,TAPERA,KPP,TRUE,13546466,11,9,Angsuran Variabel (Variable),Dipertimbangkan
62,Widowed/Divorced,TNI,18795716,,FLPP,KPR,FALSE,1019189,21,8,Angsuran Tetap (Fixed),Dipertimbangkan
14,Widowed/Divorced,pekerjaan lain,4753657,,FLPP,KRR,TRUE,13179613,20,4,Angsuran Variabel (Variable),Dipertimbangkan
16,Widowed/Divorced,PNS,9082309,,FLPP,KRR,TRUE,20037339,6,2,Angsuran Tetap (Fixed),Dipertimbangkan
59,Widowed/Divorced,TNI,17307133,,FLPP,KPR,TRUE,28381196,5,9,Angsuran Variabel (Variable),Layak
62,Married,TNI,5219822,5308102,TAPERA,KRR,FALSE,23137564,31,9,Angsuran Tetap (Fixed),Dipertimbangkan
23,Married,BUMDes,9893824,18705794,TAPERA,KRR,TRUE,21353914,28,4,Angsuran Tetap (Fixed),Dipertimbangkan
47,Married,Swasta,7749509,11459463,FLPP,KPR,TRUE,14387959,24,8,Angsuran Tetap (Fixed),Dipertimbangkan
70,Single,PNS,18366963,,FLPP,KPR,FALSE,16149361,8,4,Angsuran Variabel (Variable),Dipertimbangkan
27,Single,ASN,3148352,,TAPERA,KRR,TRUE,12344269,2,10,Angsuran Variabel (Variable),Dipertimbangkan
48,Widowed/Divorced,TNI,8721369,,FLPP,KPP,FALSE,20744773,15,1,Angsuran Tetap (Fixed),Dipertimbangkan
17,Married,PNS,2975475,8682011,TAPERA,KRR,FALSE,3261579,3,6,Angsuran Tetap (Fixed),Dipertimbangkan
17,Widowed/Divorced,PNS,18252216,,FLPP,KPR,FALSE,8986110,18,8,Angsuran Variabel (Variable),Dipertimbangkan
26,Single,BUMDes,19093688,,FLPP,KRR,TRUE,5439648,31,4,Angsuran Variabel (Variable),Dipertimbangkan
63,Single,BUMDes,16870338,,TAPERA,KPR,FALSE,28095103,27,4,Angsuran Tetap (Fixed),Dipertimbangkan
19,Widowed/Divorced,POLRI,4252458,,FLPP,KPR,FALSE,23111791,28,6,Angsuran Variabel (Variable),Dipertimbangkan
40,Single,TNI,14794303,,FLPP,KRR,TRUE,16670747,4,2,Angsuran Variabel (Variable),Dipertimbangkan
16,Single,pekerjaan mandiri,14509728,,FLPP,KRR,TRUE,25434793,22,2,Angsuran Variabel (Variable),Dipertimbangkan
28,Widowed/Divorced,ASN,7428696,,FLPP,KPP,FALSE,7382351,35,8,Angsuran Variabel (Variable),Dipertimbangkan
21,Married,TNI,15155998,7156836,FLPP,KPP,TRUE,10346424,30,4,Angsuran Variabel (Variable),Layak
68,Widowed/Divorced,ASN,3529497,,FLPP,KRR,FALSE,15869000,7,1,Angsuran Variabel (Variable),Dipertimbangkan
54,Widowed/Divorced,ASN,19139121,,FLPP,KRR,TRUE,29052430,1,2,Angsuran Tetap (Fixed),Dipertimbangkan
61,Single,POLRI,8931579,,FLPP,KPR,FALSE,6580474,27,8,Angsuran Variabel (Variable),Dipertimbangkan
43,Single,Swasta,8172169,,FLPP,KRR,TRUE,14456679,4,3,Angsuran Variabel (Variable),Dipertimbangkan
37,Widowed/Divorced,POLRI,1072322,,TAPERA,KPR,TRUE,14100380,17,8,Angsuran Tetap (Fixed),Dipertimbangkan
31,Widowed/Divorced,Swasta,15193775,,FLPP,KPR,TRUE,24373732,32,3,Angsuran Tetap (Fixed),Dipertimbangkan
25,Widowed/Divorced,POLRI,10955862,,FLPP,KPR,TRUE,8304829,4,10,Angsuran Variabel (Variable),Dipertimbangkan
60,Married,BUMN,19193052,3045396,TAPERA,KRR,FALSE,26097895,21,1,Angsuran Variabel (Variable),Dipertimbangkan
16,Married,POLRI,16998367,17872858,FLPP,KRR,TRUE,29612531,34,3,Angsuran Tetap (Fixed),Layak
16,Single,ASN,18039896,,FLPP,KPR,FALSE,3688094,12,2,Angsuran Variabel (Variable),Dipertimbangkan
51,Single,BUMD,3280388,,TAPERA,KRR,TRUE,23656373,16,7,Angsuran Variabel (Variable),Dipertimbangkan
20,Single,Swasta,9261616,,FLPP,KPP,FALSE,20425300,3,10,Angsuran Variabel (Variable),Dipertimbangkan
18,Widowed/Divorced,ASN,15066853,,FLPP,KPR,FALSE,23057783,34,6,Angsuran Tetap (Fixed),Dipertimbangkan
29,Married,Swasta,7853801,11542261,TAPERA,KPR,TRUE,9008971,17,7,Angsuran Variabel (Variable),Dipertimbangkan
21,Married,pekerjaan lain,11066231,16341910,TAPERA,KPP,FALSE,11609146,5,1,Angsuran Tetap (Fixed),Dipertimbangkan
42,Widowed/Divorced,BUMN,19890931,,TAPERA,KPR,TRUE,4354814,5,9,Angsuran Tetap (Fixed),Dipertimbangkan
26,Single,pekerjaan mandiri,17974673,,FLPP,KRR,TRUE,9898649,9,6,Angsuran Variabel (Variable),Dipertimbangkan
69,Widowed/Divorced,TNI,3308253,,FLPP,KRR,FALSE,9196824,24,5,Angsuran Tetap (Fixed),Dipertimbangkan
23,Widowed/Divorced,BUMN,15703034,,FLPP,KPP,FALSE,28975838,35,5,Angsuran Variabel (Variable),Dipertimbangkan
52,Widowed/Divorced,BUMN,18748304,,FLPP,KPR,TRUE,1262499,20,2,Angsuran Variabel (Variable),Dipertimbangkan
69,Widowed/Divorced,ASN,5506062,,TAPERA,KPR,FALSE,9874003,8,2,Angsuran Tetap (Fixed),Dipertimbangkan
60,Single,BUMD,19563105,,FLPP,KPP,FALSE,6215966,18,5,Angsuran Variabel (Variable),Dipertimbangkan
51,Single,TNI,8067558,,FLPP,KPR,FALSE,25079069,22,4,Angsuran Tetap (Fixed),Dipertimbangkan
56,Widowed/Divorced,BUMN,9857829,,FLPP,KPR,FALSE,17958713,32,5,Angsuran Variabel (Variable),Dipertimbangkan
70,Widowed/Divorced,POLRI,2704528,,TAPERA,KPP,FALSE,4097022,28,5,Angsuran Variabel (Variable),Dipertimbangkan
15,Single,Swasta,1118973,,TAPERA,KPR,TRUE,12192300,9,5,Angsuran Variabel (Variable),Dipertimbangkan
23,Widowed/Divorced,PNS,15825539,,TAPERA,KPP,FALSE,19511323,28,9,Angsuran Tetap (Fixed),Dipertimbangkan
13,Single,BUMN,4753864,,TAPERA,KPR,TRUE,3524764,10,9,Angsuran Tetap (Fixed),Dipertimbangkan
15,Single,BUMN,13388832,,FLPP,KRR,FALSE,20545777,10,7,Angsuran Tetap (Fixed),Dipertimbangkan
21,Widowed/Divorced,ASN,2403543,,TAPERA,KPR,TRUE,11343433,24,1,Angsuran Tetap (Fixed),Dipertimbangkan
70,Married,pekerjaan mandiri,13006085,8048998,TAPERA,KPR,FALSE,23886360,16,2,Angsuran Tetap (Fixed),Dipertimbangkan
35,Single,pekerjaan mandiri,19786573,,TAPERA,KRR,TRUE,14635762,10,4,Angsuran Variabel (Variable),Dipertimbangkan
68,Widowed/Divorced,pekerjaan mandiri,6452654,,TAPERA,KPP,FALSE,27839754,12,7,Angsuran Variabel (Variable),Dipertimbangkan
14,Widowed/Divorced,TNI,7018345,,FLPP,KRR,TRUE,25715002,22,7,Angsuran Variabel (Variable),Layak
64,Single,BUMN,9327110,,TAPERA,KPR,TRUE,9952514,11,2,Angsuran Tetap (Fixed),Dipertimbangkan
37,Married,ASN,2299382,16793736,TAPERA,KRR,FALSE,8463637,13,8,Angsuran Tetap (Fixed),Dipertimbangkan
35,Widowed/Divorced,BUMD,11240506,,TAPERA,KPR,TRUE,28532632,15,4,Angsuran Variabel (Variable),Layak
14,Married,TNI,7480360,14370299,TAPERA,KRR,TRUE,12014643,18,2,Angsuran Variabel (Variable),Layak
62,Married,pekerjaan mandiri,10365880,12782508,FLPP,KRR,FALSE,22524555,33,7,Angsuran Variabel (Variable),Dipertimbangkan
56,Single,pekerjaan mandiri,18992414,,FLPP,KRR,TRUE,12111545,2,2,Angsuran Tetap (Fixed),Dipertimbangkan
69,Widowed/Divorced,ASN,9764927,,TAPERA,KPR,FALSE,6991741,17,1,Angsuran Tetap (Fixed),Dipertimbangkan
19,Widowed/Divorced,pekerjaan lain,15581540,,FLPP,KPP,TRUE,12599334,21,7,Angsuran Tetap (Fixed),Dipertimbangkan
51,Married,POLRI,18160510,4880428,FLPP,KPR,FALSE,13925013,13,5,Angsuran Tetap (Fixed),Dipertimbangkan
15,Married,TNI,15631662,1056749,TAPERA,KPP,TRUE,18445631,35,4,Angsuran Variabel (Variable),Layak
36,Married,BUMDes,15471939,3347931,FLPP,KPR,TRUE,23288118,22,10,Angsuran Tetap (Fixed),Dipertimbangkan
33,Married,POLRI,5181731,11077143,TAPERA,KRR,TRUE,18016207,20,7,Angsuran Variabel (Variable),Layak
33,Widowed/Divorced,BUMDes,14502316,,FLPP,KPP,FALSE,24394432,19,9,Angsuran Tetap (Fixed),Dipertimbangkan
21,Widowed/Divorced,ASN,7437085,,TAPERA,KPR,FALSE,15107837,25,3,Angsuran Tetap (Fixed),Dipertimbangkan
52,Married,BUMN,11098202,14625621,TAPERA,KPR,FALSE,19385721,1,5,Angsuran Variabel (Variable),Dipertimbangkan
31,Single,pekerjaan mandiri,8052560,,FLPP,KPR,TRUE,15424652,21,8,Angsuran Variabel (Variable),Dipertimbangkan
41,Single,Swasta,15836420,,FLPP,KPP,TRUE,23670288,14,9,Angsuran Tetap (Fixed),Dipertimbangkan
43,Married,POLRI,6693898,3845266,TAPERA,KRR,FALSE,10522291,33,10,Angsuran Tetap (Fixed),Dipertimbangkan
34,Single,BUMN,4133554,,TAPERA,KRR,TRUE,28461734,16,5,Angsuran Tetap (Fixed),Dipertimbangkan
27,Widowed/Divorced,BUMDes,7681691,,FLPP,KPR,TRUE,5944378,2,1,Angsuran Tetap (Fixed),Dipertimbangkan
28,Married,Swasta,16942930,3443709,TAPERA,KPP,FALSE,16281230,27,10,Angsuran Variabel (Variable),Dipertimbangkan
25,Single,BUMN,13884179,,FLPP,KPP,TRUE,17588545,26,4,Angsuran Tetap (Fixed),Dipertimbangkan
22,Single,PNS,1186053,,TAPERA,KPR,TRUE,26198186,7,7,Angsuran Variabel (Variable),Layak
27,Widowed/Divorced,Swasta,6901777,,TAPERA,KRR,FALSE,27981449,34,8,Angsuran Tetap (Fixed),Dipertimbangkan
16,Widowed/Divorced,PNS,19703434,,TAPERA,KRR,TRUE,9361706,8,8,Angsuran Tetap (Fixed),Dipertimbangkan
21,Single,BUMD,16590839,,TAPERA,KPP,FALSE,23400191,34,9,Angsuran Tetap (Fixed),Dipertimbangkan
51,Single,pekerjaan lain,11646752,,FLPP,KPP,TRUE,26341985,29,10,Angsuran Tetap (Fixed),Dipertimbangkan
65,Widowed/Divorced,TNI,17937544,,TAPERA,KPR,FALSE,15319043,29,3,Angsuran Variabel (Variable),Dipertimbangkan
60,Single,BUMN,16927431,,TAPERA,KPR,FALSE,16101835,17,4,Angsuran Variabel (Variable),Dipertimbangkan
66,Married,pekerjaan lain,10305024,18491919,FLPP,KPR,FALSE,17260377,16,5,Angsuran Tetap (Fixed),Dipertimbangkan
41,Married,pekerjaan lain,3599909,10587445,TAPERA,KRR,TRUE,8868298,18,6,Angsuran Variabel (Variable),Dipertimbangkan
33,Single,BUMN,19124501,,FLPP,KPP,TRUE,3703737,9,3,Angsuran Variabel (Variable),Dipertimbangkan
27,Widowed/Divorced,Swasta,13852531,,TAPERA,KPR,TRUE,24285091,10,4,Angsuran Tetap (Fixed),Dipertimbangkan
17,Married,Swasta,14920656,14676765,TAPERA,KRR,TRUE,12102537,35,8,Angsuran Variabel (Variable),Layak
39,Married,TNI,3089290,7940210,FLPP,KRR,TRUE,28947190,27,7,Angsuran Variabel (Variable),Dipertimbangkan
70,Widowed/Divorced,BUMDes,1655383,,TAPERA,KPP,FALSE,29747156,25,8,Angsuran Tetap (Fixed),Dipertimbangkan
13,Single,TNI,12803066,,FLPP,KRR,FALSE,11019777,25,7,Angsuran Variabel (Variable),Layak
47,Married,BUMDes,19325159,8400050,FLPP,KPR,TRUE,17382262,15,5,Angsuran Tetap (Fixed),Dipertimbangkan
40,Single,Swasta,17295441,,FLPP,KRR,FALSE,1973911,25,6,Angsuran Variabel (Variable),Dipertimbangkan
55,Widowed/Divorced,ASN,14566616,,TAPERA,KPR,TRUE,25299494,11,8,Angsuran Tetap (Fixed),Layak
21,Single,ASN,18922215,,TAPERA,KPP,TRUE,1904843,26,10,Angsuran Tetap (Fixed),Dipertimbangkan
49,Married,POLRI,1909393,3816809,FLPP,KPR,FALSE,22567099,28,3,Angsuran Variabel (Variable),Dipertimbangkan
68,Widowed/Divorced,pekerjaan mandiri,16492029,,TAPERA,KPP,FALSE,7097814,4,5,Angsuran Tetap (Fixed),Dipertimbangkan
37,Single,BUMDes,11984132,,FLPP,KPR,FALSE,8102140,30,6,Angsuran Tetap (Fixed),Dipertimbangkan
34,Married,pekerjaan lain,13721364,10336742,TAPERA,KRR,FALSE,26233262,27,5,Angsuran Tetap (Fixed),Dipertimbangkan
66,Single,ASN,3748317,,FLPP,KPP,TRUE,16780878,2,9,Angsuran Tetap (Fixed),Dipertimbangkan
16,Single,TNI,12742720,,FLPP,KRR,TRUE,8523647,5,1,Angsuran Tetap (Fixed),Dipertimbangkan
61,Married,Swasta,2041193,9297450,TAPERA,KRR,TRUE,7689434,2,10,Angsuran Variabel (Variable),Dipertimbangkan
22,Married,pekerjaan lain,9004240,5235273,FLPP,KPP,TRUE,16890072,8,10,Angsuran Variabel (Variable),Dipertimbangkan
26,Widowed/Divorced,TNI,16603951,,FLPP,KRR,TRUE,24470149,17,6,Angsuran Tetap (Fixed),Dipertimbangkan
23,Single,Swasta,4843085,,TAPERA,KPR,FALSE,27098364,11,5,Angsuran Tetap (Fixed),Dipertimbangkan
19,Married,ASN,1861624,11467548,FLPP,KRR,FALSE,20320532,25,7,Angsuran Tetap (Fixed),Dipertimbangkan
58,Single,POLRI,7654843,,TAPERA,KRR,FALSE,3550018,16,2,Angsuran Tetap (Fixed),Dipertimbangkan
57,Married,TNI,11119435,5061933,TAPERA,KPP,FALSE,27716951,3,6,Angsuran Tetap (Fixed),Dipertimbangkan
47,Married,Swasta,15373980,13434295,TAPERA,KRR,TRUE,3313804,33,6,Angsuran Tetap (Fixed),Dipertimbangkan
13,Single,BUMDes,15094832,,FLPP,KRR,FALSE,28592846,32,2,Angsuran Tetap (Fixed),Dipertimbangkan
40,Married,BUMN,13153013,16426292,TAPERA,KPR,FALSE,24733339,10,7,Angsuran Tetap (Fixed),Dipertimbangkan
24,Single,Swasta,18506915,,FLPP,KRR,FALSE,22825729,18,10,Angsuran Tetap (Fixed),Dipertimbangkan
64,Widowed/Divorced,TNI,19058086,,TAPERA,KRR,TRUE,26992653,31,8,Angsuran Tetap (Fixed),Layak
40,Married,Swasta,10005859,11814747,TAPERA,KPR,TRUE,29578751,16,2,Angsuran Tetap (Fixed),Dipertimbangkan
30,Single,TNI,16126405,,FLPP,KPP,FALSE,9182699,30,10,Angsuran Tetap (Fixed),Dipertimbangkan
52,Widowed/Divorced,POLRI,13716770,,FLPP,KRR,FALSE,12287597,2,8,Angsuran Tetap (Fixed),Dipertimbangkan
67,Widowed/Divorced,Swasta,11905665,,FLPP,KPP,TRUE,7101533,32,4,Angsuran Tetap (Fixed),Dipertimbangkan
35,Widowed/Divorced,pekerjaan mandiri,9668868,,FLPP,KPP,TRUE,12419876,18,10,Angsuran Variabel (Variable),Dipertimbangkan
57,Married,Swasta,10270035,19649252,FLPP,KPR,TRUE,1340614,34,4,Angsuran Tetap (Fixed),Dipertimbangkan
18,Single,ASN,9098565,,TAPERA,KPP,FALSE,25161696,27,8,Angsuran Variabel (Variable),Layak
48,Widowed/Divorced,Swasta,9063933,,TAPERA,KPP,TRUE,24173004,31,8,Angsuran Variabel (Variable),Dipertimbangkan
41,Widowed/Divorced,PNS,1578587,,FLPP,KPP,TRUE,4122352,19,4,Angsuran Tetap (Fixed),Dipertimbangkan
38,Widowed/Divorced,ASN,9163966,,FLPP,KPP,FALSE,11274569,24,8,Angsuran Tetap (Fixed),Dipertimbangkan
48,Married,BUMN,18814783,12534584,FLPP,KRR,TRUE,15277538,22,6,Angsuran Variabel (Variable),Layak
57,Widowed/Divorced,BUMDes,16225164,,FLPP,KRR,TRUE,10090446,20,5,Angsuran Variabel (Variable),Dipertimbangkan
27,Married,BUMN,5048539,7462056,TAPERA,KRR,TRUE,11588032,8,9,Angsuran Tetap (Fixed),Dipertimbangkan
61,Widowed/Divorced,BUMN,7212597,,TAPERA,KPP,FALSE,7427048,14,8,Angsuran Variabel (Variable),Dipertimbangkan
30,Married,BUMDes,18603892,10495860,TAPERA,KRR,FALSE,4373096,13,5,Angsuran Tetap (Fixed),Dipertimbangkan
27,Married,BUMDes,13109159,7021059,FLPP,KPR,TRUE,11142417,1,9,Angsuran Variabel (Variable),Dipertimbangkan
21,Widowed/Divorced,pekerjaan mandiri,10204360,,FLPP,KPR,TRUE,2527253,4,9,Angsuran Tetap (Fixed),Dipertimbangkan
31,Married,PNS,5237236,17471155,TAPERA,KRR,TRUE,4442270,1,10,Angsuran Tetap (Fixed),Dipertimbangkan
31,Single,POLRI,16750347,,TAPERA,KPP,TRUE,17062983,29,6,Angsuran Tetap (Fixed),Layak
24,Single,POLRI,2723916,,FLPP,KRR,FALSE,9471768,31,2,Angsuran Tetap (Fixed),Dipertimbangkan
65,Widowed/Divorced,BUMN,3192561,,TAPERA,KPR,FALSE,14445510,32,2,Angsuran Tetap (Fixed),Dipertimbangkan
49,Single,pekerjaan lain,2798822,,TAPERA,KPR,FALSE,6091113,10,10,Angsuran Tetap (Fixed),Tidak Layak
32,Single,ASN,3858196,,TAPERA,KPR,TRUE,9327906,8,9,Angsuran Variabel (Variable),Dipertimbangkan
61,Married,BUMD,14964482,8572803,TAPERA,KPR,TRUE,27027956,34,7,Angsuran Tetap (Fixed),Layak
41,Single,POLRI,15855251,,TAPERA,KRR,FALSE,10977515,28,5,Angsuran Variabel (Variable),Layak
49,Single,PNS,3020993,,FLPP,KRR,FALSE,21455818,7,4,Angsuran Tetap (Fixed),Dipertimbangkan
53,Single,TNI,8080830,,TAPERA,KPR,FALSE,9880050,6,3,Angsuran Tetap (Fixed),Dipertimbangkan
28,Married,POLRI,6832214,19521786,FLPP,KPR,FALSE,3518759,11,1,Angsuran Variabel (Variable),Dipertimbangkan
39,Married,PNS,16116395,16767646,TAPERA,KPR,TRUE,10773040,3,4,Angsuran Tetap (Fixed),Dipertimbangkan
31,Single,POLRI,10486454,,FLPP,KPP,FALSE,24588348,30,2,Angsuran Variabel (Variable),Dipertimbangkan
56,Single,POLRI,8832403,,TAPERA,KRR,TRUE,9876980,13,7,Angsuran Tetap (Fixed),Dipertimbangkan
20,Single,BUMDes,19272481,,FLPP,KRR,FALSE,8543353,10,5,Angsuran Tetap (Fixed),Dipertimbangkan
65,Widowed/Divorced,TNI,5772657,,TAPERA,KPR,TRUE,3396116,4,3,Angsuran Tetap (Fixed),Dipertimbangkan
63,Single,ASN,11321739,,TAPERA,KPP,FALSE,20966364,19,8,Angsuran Tetap (Fixed),Dipertimbangkan
20,Single,TNI,16726894,,TAPERA,KPP,TRUE,24108198,20,7,Angsuran Variabel (Variable),Layak
30,Married,TNI,17793059,19118774,TAPERA,KPR,TRUE,17569018,29,2,Angsuran Tetap (Fixed),Layak
51,Single,BUMD,2337505,,FLPP,KRR,FALSE,15496476,21,10,Angsuran Variabel (Variable),Dipertimbangkan
29,Widowed/Divorced,POLRI,1867881,,FLPP,KRR,TRUE,4064421,15,10,Angsuran Tetap (Fixed),Dipertimbangkan
50,Widowed/Divorced,pekerjaan lain,1696101,,TAPERA,KPP,TRUE,26661100,18,10,Angsuran Tetap (Fixed),Dipertimbangkan
15,Widowed/Divorced,PNS,6878425,,TAPERA,KRR,TRUE,16787387,34,8,Angsuran Variabel (Variable),Layak
30,Widowed/Divorced,PNS,7089765,,TAPERA,KPP,FALSE,20640403,28,8,Angsuran Tetap (Fixed),Dipertimbangkan
18,Single,BUMN,16770931,,TAPERA,KPR,TRUE,12675635,27,6,Angsuran Tetap (Fixed),Layak
33,Married,PNS,4509789,6396386,TAPERA,KPR,TRUE,12066374,27,8,Angsuran Variabel (Variable),Layak
31,Widowed/Divorced,pekerjaan lain,14436947,,TAPERA,KRR,TRUE,28298746,3,8,Angsuran Variabel (Variable),Dipertimbangkan
18,Single,POLRI,11553444,,FLPP,KPP,FALSE,9469100,21,2,Angsuran Tetap (Fixed),Dipertimbangkan
62,Single,BUMDes,14561864,,FLPP,KRR,TRUE,18266984,1,9,Angsuran Tetap (Fixed),Dipertimbangkan
42,Married,TNI,14866287,2818787,FLPP,KPR,TRUE,7294225,34,6,Angsuran Tetap (Fixed),Dipertimbangkan
52,Married,BUMD,17726652,15832433,TAPERA,KRR,FALSE,26501050,4,4,Angsuran Tetap (Fixed),Dipertimbangkan
30,Married,PNS,19428753,5396074,TAPERA,KRR,FALSE,10664654,29,8,Angsuran Variabel (Variable),Layak
20,Widowed/Divorced,pekerjaan lain,1968697,,TAPERA,KPP,FALSE,22140039,16,3,Angsuran Variabel (Variable),Dipertimbangkan
32,Single,POLRI,19483090,,TAPERA,KPR,FALSE,1458838,27,2,Angsuran Tetap (Fixed),Dipertimbangkan
27,Married,pekerjaan lain,4807123,16483621,TAPERA,KRR,FALSE,4941509,10,8,Angsuran Tetap (Fixed),Tidak Layak
58,Married,ASN,10793248,18074911,FLPP,KPP,FALSE,24669686,18,7,Angsuran Tetap (Fixed),Dipertimbangkan
66,Married,Swasta,17189999,16845066,FLPP,KPP,TRUE,9178252,30,9,Angsuran Tetap (Fixed),Dipertimbangkan
22,Single,PNS,13871010,,TAPERA,KPR,FALSE,7395822,33,3,Angsuran Tetap (Fixed),Dipertimbangkan
68,Single,BUMN,3342437,,FLPP,KPR,FALSE,10269324,27,6,Angsuran Tetap (Fixed),Dipertimbangkan
63,Married,POLRI,18036849,9964826,FLPP,KPR,TRUE,28533071,1,5,Angsuran Variabel (Variable),Layak
59,Single,ASN,11017871,,FLPP,KRR,TRUE,29101028,32,3,Angsuran Tetap (Fixed),Dipertimbangkan
41,Married,BUMD,19071765,17251800,TAPERA,KPP,FALSE,12580437,22,9,Angsuran Tetap (Fixed),Dipertimbangkan
61,Single,PNS,19234487,,TAPERA,KPP,FALSE,13657069,30,6,Angsuran Tetap (Fixed),Dipertimbangkan
68,Married,TNI,7330123,9012984,FLPP,KPR,TRUE,20186345,25,4,Angsuran Tetap (Fixed),Dipertimbangkan
67,Widowed/Divorced,ASN,14783325,,FLPP,KRR,TRUE,2464560,21,8,Angsuran Variabel (Variable),Dipertimbangkan
58,Single,ASN,13791994,,TAPERA,KRR,TRUE,13954653,10,8,Angsuran Variabel (Variable),Layak
15,Married,ASN,5236121,17854094,FLPP,KRR,TRUE,20803169,22,2,Angsuran Variabel (Variable),Layak
68,Widowed/Divorced,POLRI,15774224,,TAPERA,KPP,TRUE,4345769,34,8,Angsuran Tetap (Fixed),Dipertimbangkan
13,Widowed/Divorced,pekerjaan mandiri,5837053,,TAPERA,KRR,TRUE,14756599,10,2,Angsuran Variabel (Variable),Dipertimbangkan
43,Widowed/Divorced,BUMDes,9892688,,TAPERA,KPP,FALSE,12360229,26,2,Angsuran Tetap (Fixed),Dipertimbangkan
67,Single,POLRI,12024831,,TAPERA,KPP,TRUE,29599829,35,7,Angsuran Tetap (Fixed),Layak
33,Widowed/Divorced,pekerjaan mandiri,17372800,,TAPERA,KPP,TRUE,19153485,3,10,Angsuran Tetap (Fixed),Dipertimbangkan
17,Widowed/Divorced,PNS,8877582,,TAPERA,KPP,FALSE,22178249,19,4,Angsuran Variabel (Variable),Dipertimbangkan
60,Widowed/Divorced,pekerjaan lain,4032627,,FLPP,KPP,TRUE,15561666,7,2,Angsuran Variabel (Variable),Dipertimbangkan
